Gene 1,Gene 2,cv,train
Ighv3-6,Apoc4,0.625,0.75
Ighv3-6,Timp3,0.875,0.875
Ighv3-6,Psap,0.6875,0.75
Ighv3-6,Arf3,0.5625,0.6875
Ighv3-6,F9,0.5625,0.6875
Ighv3-6,Ighm,0.4375,0.6875
Ighv3-6,Col11a2,0.6875,0.6875
Ighv3-6,Pkm,0.625,0.8125
Ighv3-6,Retnlg,0.4375,0.8125
Ighv3-6,Hsp90ab1,0.75,0.75
Ighv3-6,Igfbp3,0.5,0.6875
Ighv3-6,Iglc3,0.5,0.6875
Ighv3-6,Actr3,0.375,0.625
Ighv3-6,Ighg1,0.5625,0.6875
Ighv3-6,Sema4b,0.6875,0.8125
Ighv3-6,Sbsn,0.4375,0.6875
Ighv3-6,Efemp2,0.5625,0.6875
Ighv3-6,Ca1,0.5625,0.625
Ighv3-6,Selenop,0.625,0.6875
Ighv3-6,C1qa,0.5,0.5625
Ighv3-6,Serpina10,0.5625,0.75
Ighv3-6,Ptgds,0.5625,0.625
Ighv3-6,Lcp1,0.5,0.75
Ighv3-6,Serpina1a,0.4375,0.75
Ighv3-6,Gnptg,0.5625,0.8125
Ighv3-6,Hspa8,0.5625,0.6875
Ighv3-6,Gpx1,0.5625,0.625
Ighv3-6,Icoslg,0.4375,0.75
Ighv3-6,Serpina3n,0.5625,0.6875
Ighv3-6,Ctsb,0.6875,0.75
Ighv3-6,Pon3,0.4375,0.6875
Ighv3-6,Ighv1-62-3,0.4375,0.5
Ighv3-6,Cat,0.5,0.625
Ighv3-6,Ca2,0.625,0.6875
Ighv3-6,Ppia,0.6875,0.625
Ighv3-6,C4b,0.3125,0.6875
Ighv3-6,Vcl,0.6875,0.75
Ighv3-6,Cd5l,0.4375,0.6875
Ighv3-6,Pla2g7,0.5625,0.625
Ighv3-6,Orm2,0.5625,0.6875
Ighv3-6,Hamp,0.4375,0.625
Ighv3-6,C2,0.5625,0.625
Ighv3-6,Ckm,0.5,0.75
Ighv3-6,Eef1a1,0.625,0.75
Ighv3-6,Umod,0.4375,0.6875
Ighv3-6,Pgk1,0.5,0.625
Ighv3-6,Prdx2,0.625,0.625
Ighv3-6,Qsox1,0.625,0.6875
Ighv3-6,Orm1,0.6875,0.6875
Ighv3-6,Cpq,0.5625,0.6875
Ighv3-6,Adh1,0.5625,0.625
Ighv3-6,Apoh,0.625,0.625
Ighv3-6,Ldha,0.5625,0.6875
Ighv3-6,Cd44,0.5625,0.625
Ighv3-6,Nrp1,0.25,0.6875
Ighv3-6,Itih3,0.375,0.625
Ighv3-6,Eno1,0.5625,0.625
Ighv3-6,Met,0.5,0.6875
Ighv3-6,Aldoa,0.625,0.5625
Ighv3-6,C1qb,0.5,0.6875
Ctsd,Psmb9,0.625,0.875
Ctsd,Actb,0.875,0.9375
Ctsd,Fbln5,0.6875,0.9375
Ctsd,Heg1,0.625,0.75
Ctsd,F2,0.75,0.875
Ctsd,Igfals,0.5625,0.75
Ctsd,Mcam,0.625,0.8125
Ctsd,Clu,0.6875,0.75
Ctsd,Slc3a2,0.5625,0.75
Ctsd,Saa1,0.625,0.75
Ctsd,Sord,0.6875,0.875
Ctsd,Dnpep,0.6875,0.8125
Ctsd,Hp,0.625,0.75
Ctsd,Apof,0.5,0.6875
Ctsd,B2m,0.8125,0.875
Ctsd,Angptl3,0.625,0.75
Ctsd,Amy1,0.625,0.75
Ctsd,Apoc3,0.9375,1.0
Ctsd,Lrp1,0.75,0.75
Ctsd,Aldob,0.8125,0.9375
