Gene 1,Gene 2,cv,train
Mavs,Cpped1,0.625,0.75
Mavs,Ehd1,0.625,0.8125
Mavs,Grcc10,0.5625,0.875
Mavs,Tor1aip1,0.5625,0.625
Mavs,Sdhaf2,0.6875,0.75
Mavs,Atp5mg,0.4375,0.75
Mavs,Hmbs,0.6875,0.6875
Mavs,Ube2g2,0.6875,0.75
Mavs,Prxl2a,0.625,0.8125
Mavs,Oplah,0.75,0.9375
Mavs,Pmp2,0.75,0.8125
Mavs,Smad4,0.6875,0.75
Mavs,Atp1b1,0.5625,0.6875
Mavs,Cisd1,0.5625,0.6875
Mavs,P33monox,0.6875,0.8125
Mavs,Itga6,0.5625,0.6875
Mavs,Ppp1r11,0.75,0.75
Mavs,Dctn2,0.625,0.75
Mavs,Ppp3r1,0.4375,0.6875
Mavs,Mrpl21,0.6875,0.6875
Mavs,Ppp1r12a,0.6875,0.6875
Mavs,Tra2b,0.625,0.6875
Mavs,Etfrf1,0.6875,0.75
Mavs,Tmem126a,0.6875,0.6875
Mavs,Phb2,0.6875,0.6875
Mavs,L2hgdh,0.6875,0.75
Mavs,Myl1,0.75,0.875
Alad,Kpna6,0.75,0.9375
Alad,Mapre1,0.9375,0.9375
Alad,Sumo2,0.9375,0.9375
Alad,Mtx2,0.8125,0.9375
Alad,Tmem11,0.875,1.0
Alad,Eno1,0.875,0.9375
Alad,Lrpprc,0.875,0.9375
Alad,Acss1,0.875,0.9375
Alad,Pin4,0.9375,0.9375
Alad,Myo1c,0.875,0.9375
Alad,Gfm2,0.8125,0.9375
Alad,Pam16,0.9375,1.0
Alad,Obscn,0.875,0.9375
Alad,Taldo1,0.875,0.9375
Alad,Rdx,0.8125,0.9375
Alad,Cltc,0.9375,0.9375
Alad,Uqcc2,0.875,0.9375
Alad,Acadsb,0.875,0.9375
Alad,Hspb8,0.9375,0.9375
Alad,Ccdc22,0.9375,0.9375
Alad,Sbk2,0.9375,0.9375
Alad,Ybx2,0.875,0.9375
Alad,Adi1,0.875,0.9375
Alad,Esd,0.9375,0.9375
Alad,Vars1,0.9375,1.0
Alad,Vapa,0.875,0.9375
Alad,Nt5c1a,0.8125,0.9375
Alad,Gbe1,0.875,0.9375
Alad,Gna11,0.9375,0.9375
Alad,Hsd17b4,0.875,0.9375
Alad,Bcl2l13,0.875,0.9375
Alad,Rab1b,0.9375,0.9375
Alad,Ahsa1,0.9375,0.9375
Alad,Capn2,0.875,1.0
Alad,Rbm12,0.75,0.9375
Alad,Manf,0.8125,0.9375
Alad,Tpm1,0.9375,0.9375
Alad,Pex19,0.875,0.9375
Alad,Atxn2l,0.8125,0.9375
Alad,Bola3,0.9375,0.9375
Alad,Coro1c,0.9375,0.9375
Alad,Dynlrb1,0.9375,1.0
Alad,Lgals1,0.875,1.0
