Gene 1,Gene 2,cv,train
Dazap1,Aldoc,0.875,0.875
Dazap1,Abhd5,0.8125,0.875
Dazap1,H1-5,0.875,0.9375
Dazap1,Ica,0.8125,0.75
Dazap1,Ppp1r12b,0.8125,0.875
Dazap1,Mecr,0.8125,0.9375
Dazap1,Mgst3,0.625,0.8125
Dazap1,Mpc1,0.9375,1.0
Dazap1,H2az1,0.875,0.9375
Dazap1,Gstz1,0.9375,1.0
Dazap1,Tmsb10,0.875,1.0
Dazap1,Atl3,0.8125,0.75
Dazap1,Eif3d,0.875,0.9375
Dazap1,Tmem65,0.875,0.9375
Dazap1,Eif2s3x,0.75,0.8125
Dazap1,Hmgb2,0.75,0.75
Dazap1,Fn3krp,0.6875,0.75
Dazap1,Tmed5,0.75,0.875
Dazap1,Agk,0.875,0.875
Dazap1,Cfd,0.75,0.875
Dazap1,Pla2g7,0.75,0.9375
Dazap1,Rbbp7,0.8125,0.875
Dazap1,Cnp,0.875,0.9375
Dazap1,Tceal5,0.9375,1.0
Dazap1,Usp13,0.875,0.875
Dazap1,Samm50,0.75,0.875
Dazap1,Iba57,0.75,0.875
Dazap1,Ybx3,0.875,1.0
Dazap1,Clic1,0.8125,0.875
Dazap1,Tomm40,0.8125,0.9375
Dazap1,Bcat2,0.75,0.9375
Dazap1,Nubp2,0.625,0.8125
Dazap1,Ldhc,0.8125,0.9375
Dazap1,Pgm2l1,0.9375,0.9375
Dazap1,Ttc1,0.8125,0.8125
Dazap1,Eif2b4,0.8125,0.875
Dazap1,Ace,0.875,0.9375
Dazap1,Acad10,0.75,0.875
Dazap1,Sdhd,0.6875,0.8125
Dazap1,Rps16,0.8125,0.75
Dazap1,Cyc1,0.75,0.9375
Dazap1,Sp100,0.8125,0.75
Dazap1,Ldb3,0.625,0.75
Dazap1,Ampd1,0.75,0.9375
Dazap1,Ppil1,0.875,1.0
Dazap1,Hnrnph1,0.625,0.75
Dazap1,Scoc,0.625,0.75
Dazap1,Plin5,0.8125,0.8125
Dazap1,Rras2,0.75,0.9375
Dazap1,Eif2s2,0.75,0.8125
Dazap1,Reep5,0.8125,0.875
Dazap1,Ube2f,0.75,0.875
Dazap1,Ociad1,0.8125,0.9375
Dazap1,Ciao2b,0.6875,0.75
Dazap1,Fdps,0.6875,0.875
Dazap1,Cat,0.8125,0.9375
Dazap1,Srrm1,0.875,0.9375
Dazap1,Rpl4,0.875,0.9375
Dazap1,Pmpca,0.75,0.8125
Dazap1,Zc3h15,0.6875,0.875
Dazap1,Rcc1,0.8125,1.0
Dazap1,Chchd3,0.875,0.875
Dazap1,Fdx2,0.75,0.8125
Dazap1,Eif1,0.6875,0.8125
Dazap1,Cox6c,0.8125,0.875
Dazap1,Rad21,0.75,0.875
Dazap1,H1-0,0.75,0.75
Dazap1,Nmral1,0.8125,0.9375
Dazap1,Nnt,0.9375,0.9375
Dazap1,Ssb,0.8125,0.8125
Dazap1,Dnajc11,0.875,1.0
Dazap1,Snx6,0.8125,0.9375
Slc27a1,Acot9,0.8125,1.0
Slc27a1,Capza2,0.75,0.9375
Slc27a1,Cdc37,0.8125,0.875
Slc27a1,Clpp,0.75,0.875
Slc27a1,Ctbp1,0.75,0.8125
Slc27a1,Gtf2i,0.75,0.8125
Slc27a1,Fkbp3,0.75,0.9375
Slc27a1,Rbm39,0.75,0.8125
Slc27a1,Eif4b,0.8125,0.875
Slc27a1,Syncrip,0.6875,0.8125
Slc27a1,Akr1c6,0.875,0.875
Slc27a1,Dbn1,0.75,0.8125
Slc27a1,Mrpl14,0.75,0.8125
Slc27a1,Cobl,0.75,0.8125
Slc27a1,Smc3,0.8125,1.0
Slc27a1,Bsg,0.75,0.8125
Slc27a1,Gcdh,0.8125,0.9375
Slc27a1,Adhfe1,0.875,1.0
Slc27a1,Pepd,0.75,0.875
Slc27a1,Cwc22,0.875,0.875
Slc27a1,Col6a6,0.75,0.75
Slc27a1,Clic5,0.75,0.75
Slc27a1,Txnl1,0.75,0.8125
Slc27a1,Cisd1,0.8125,0.9375
Slc27a1,Aldoc,0.75,0.8125
Slc27a1,Abhd5,0.8125,0.8125
Slc27a1,H1-5,0.875,0.875
Slc27a1,Ica,0.75,0.875
Slc27a1,Ppp1r12b,0.75,0.75
Slc27a1,Mecr,0.6875,0.875
Slc27a1,Mgst3,0.6875,0.8125
Slc27a1,Mpc1,0.8125,0.875
Slc27a1,H2az1,0.8125,0.8125
Slc27a1,Gstz1,0.6875,0.8125
Slc27a1,Tmsb10,0.8125,0.875
Slc27a1,Atl3,0.8125,0.875
Slc27a1,Eif3d,0.875,0.875
Slc27a1,Tmem65,0.875,0.875
Slc27a1,Eif2s3x,0.75,0.75
Slc27a1,Hmgb2,0.75,0.75
Slc27a1,Fn3krp,0.875,0.9375
Slc27a1,Tmed5,0.875,0.875
Slc27a1,Agk,0.6875,0.8125
Slc27a1,Cfd,0.875,0.875
Slc27a1,Pla2g7,0.875,0.9375
Slc27a1,Rbbp7,0.9375,0.9375
Slc27a1,Cnp,0.8125,0.875
Slc27a1,Tceal5,0.8125,0.875
Slc27a1,Usp13,0.75,0.75
Slc27a1,Samm50,0.8125,0.875
Slc27a1,Iba57,0.75,0.75
Slc27a1,Ybx3,0.8125,0.875
Slc27a1,Clic1,0.6875,0.8125
Slc27a1,Tomm40,0.75,0.9375
Slc27a1,Bcat2,0.875,0.875
Slc27a1,Nubp2,0.6875,0.75
Slc27a1,Ldhc,0.875,0.875
Slc27a1,Pgm2l1,0.6875,0.8125
Slc27a1,Ttc1,0.8125,0.875
Slc27a1,Eif2b4,0.8125,0.875
Slc27a1,Ace,0.6875,0.875
Slc27a1,Acad10,0.8125,0.9375
Slc27a1,Sdhd,0.75,0.75
Slc27a1,Rps16,0.875,0.875
Slc27a1,Cyc1,0.75,0.9375
Slc27a1,Sp100,0.625,0.75
Slc27a1,Ldb3,0.625,0.75
Slc27a1,Ampd1,0.75,0.8125
Slc27a1,Ppil1,0.8125,0.875
Slc27a1,Hnrnph1,0.8125,0.75
Slc27a1,Scoc,0.75,0.8125
Slc27a1,Plin5,0.8125,0.9375
Slc27a1,Rras2,0.6875,0.8125
Slc27a1,Eif2s2,0.75,0.75
Slc27a1,Reep5,0.75,0.875
Slc27a1,Ube2f,0.875,0.875
Slc27a1,Ociad1,0.875,0.875
Slc27a1,Ciao2b,0.75,0.75
Slc27a1,Fdps,0.75,0.75
Slc27a1,Cat,0.8125,0.875
Slc27a1,Srrm1,0.6875,0.75
Slc27a1,Rpl4,0.8125,0.875
Slc27a1,Pmpca,0.75,0.875
Slc27a1,Zc3h15,0.875,0.875
Slc27a1,Rcc1,0.875,0.875
Slc27a1,Chchd3,0.75,0.875
Slc27a1,Fdx2,0.75,0.8125
Slc27a1,Eif1,0.75,0.75
Slc27a1,Cox6c,0.75,0.9375
Slc27a1,Rad21,0.875,0.875
Slc27a1,H1-0,0.6875,0.75
Slc27a1,Nmral1,0.8125,0.875
Slc27a1,Nnt,0.875,0.875
Slc27a1,Ssb,0.6875,0.75
Slc27a1,Dnajc11,0.75,0.8125
Slc27a1,Snx6,0.8125,0.875
Acot9,Capza2,0.875,0.9375
Acot9,Cdc37,0.8125,0.9375
Acot9,Clpp,0.875,0.9375
Acot9,Ctbp1,0.875,1.0
Acot9,Gtf2i,0.875,0.875
Acot9,Fkbp3,0.875,0.875
Acot9,Rbm39,0.875,0.875
Acot9,Eif4b,0.75,0.875
Acot9,Syncrip,0.875,0.9375
Acot9,Akr1c6,0.8125,0.875
Acot9,Dbn1,0.9375,0.9375
Acot9,Mrpl14,0.875,0.875
Acot9,Cobl,0.875,0.9375
Acot9,Smc3,0.875,0.875
Acot9,Bsg,0.8125,0.9375
Acot9,Gcdh,0.875,0.875
Acot9,Adhfe1,0.8125,0.875
Acot9,Pepd,0.875,0.9375
Acot9,Cwc22,0.875,0.9375
Acot9,Col6a6,0.875,1.0
Acot9,Clic5,0.875,0.9375
Acot9,Txnl1,0.8125,0.9375
Acot9,Cisd1,0.8125,0.875
Acot9,Aldoc,0.875,0.9375
Acot9,Abhd5,0.8125,0.875
Acot9,H1-5,0.75,0.9375
Acot9,Ica,0.875,0.9375
Acot9,Ppp1r12b,0.8125,0.9375
Acot9,Mecr,0.8125,0.9375
Acot9,Mgst3,0.875,1.0
Acot9,Mpc1,0.9375,1.0
Acot9,H2az1,0.875,0.875
Acot9,Gstz1,0.8125,0.9375
Acot9,Tmsb10,0.75,0.875
Acot9,Atl3,0.875,0.9375
Acot9,Eif3d,0.875,0.875
Acot9,Tmem65,0.8125,0.875
Acot9,Eif2s3x,0.75,0.9375
Acot9,Hmgb2,0.875,0.875
Acot9,Fn3krp,0.875,0.9375
Acot9,Tmed5,0.75,0.9375
Acot9,Agk,0.8125,0.875
Acot9,Cfd,0.875,0.875
Acot9,Pla2g7,0.875,1.0
Acot9,Rbbp7,0.875,0.875
Acot9,Cnp,0.875,0.875
Acot9,Tceal5,0.875,0.9375
Acot9,Usp13,0.875,0.9375
Acot9,Samm50,0.9375,0.9375
Acot9,Iba57,0.875,1.0
Acot9,Ybx3,0.875,0.875
Acot9,Clic1,1.0,1.0
Acot9,Tomm40,0.8125,0.875
Acot9,Bcat2,0.875,0.875
Acot9,Nubp2,0.8125,1.0
Acot9,Ldhc,0.75,0.9375
Acot9,Pgm2l1,1.0,1.0
Acot9,Ttc1,0.9375,1.0
