Gene 1,Gene 2,cv,train
Sptb,Cfl2,0.8125,0.875
Sptb,Inpp1,0.8125,0.9375
Sptb,Atp6v1g1,0.875,1.0
Sptb,Atox1,0.875,0.9375
Sptb,Ddx5,0.8125,0.9375
Sptb,Rad21,0.75,0.9375
Sptb,Sdha,0.8125,0.9375
Sptb,Col5a2,0.8125,0.9375
Sptb,Atp2b1,0.6875,0.875
Sptb,Xirp1,0.8125,0.9375
Sptb,Ate1,0.75,0.8125
Sptb,Klhl41,0.8125,0.9375
Sptb,Rsu1,0.8125,0.9375
Sptb,Scrn3,0.75,0.9375
Sptb,Psmd9,0.8125,0.8125
Sptb,Phkb,0.875,0.9375
Sptb,Samm50,0.8125,0.875
Sptb,Xirp2,0.75,0.875
Sptb,Rab1A,0.75,0.8125
Sptb,Isca1,0.875,0.9375
Sptb,Ndufv1,0.8125,0.9375
Sptb,Twf2,0.8125,0.8125
Sptb,Apeh,0.75,0.875
Sptb,Suclg2,0.8125,1.0
Sptb,Eprs1,0.875,0.9375
Sptb,Hnrnpa1,0.8125,1.0
Sptb,Naa50,0.8125,0.875
Sptb,Setd3,1.0,1.0
Sptb,Myh8,0.75,0.8125
Sptb,Lman1,0.9375,0.9375
Sptb,Myo1c,0.75,0.875
Sptb,Lamtor1,0.875,1.0
Sptb,Rrm1,0.8125,0.8125
Sptb,Ptma,0.9375,1.0
Sptb,Phpt1,0.8125,0.8125
Sptb,Kng1,0.8125,0.875
Sptb,Diaph1,0.8125,0.9375
Sptb,Sqstm1,0.8125,0.875
Sptb,Phb2,0.8125,0.9375
Sptb,Map2k1,0.6875,0.875
Sptb,Pdap1,0.8125,0.8125
Sptb,Bzw2,0.9375,0.9375
Sptb,Pkm,0.8125,0.8125
Sptb,Psmd4,0.875,1.0
Sptb,Cp,0.75,0.875
Sptb,Adss1,0.6875,0.8125
Sptb,Cops3,0.6875,0.875
Lmnb1,Lrpprc,1.0,1.0
Lmnb1,Ilf2,0.9375,1.0
Lmnb1,Smyd2,0.9375,0.9375
Lmnb1,Cox5b,0.75,0.8125
Lmnb1,Sephs1,0.875,1.0
Lmnb1,Zc3h15,0.75,0.875
Lmnb1,Flnc,0.875,0.9375
Lmnb1,Obscn,0.6875,0.875
Lmnb1,Hgs,0.9375,1.0
Lmnb1,Ttn,0.8125,0.8125
Lmnb1,Wdr26,0.8125,0.875
Lmnb1,Ncbp1,0.75,0.875
Lmnb1,U2af1,0.6875,0.875
Lmnb1,Bub3,0.8125,1.0
Lmnb1,Sod2,0.75,0.875
Lmnb1,Numa1,1.0,1.0
Lmnb1,Kctd9,0.9375,0.9375
Lmnb1,Ubxn6,0.875,0.9375
Lmnb1,Cpped1,0.8125,0.9375
Lmnb1,Tmed2,0.875,0.9375
Lmnb1,Ugp2,0.8125,0.875
Lmnb1,Txnl1,0.875,1.0
Lmnb1,Pef1,0.75,0.875
Lmnb1,Btf3l4,0.8125,0.8125
Lmnb1,Emc2,0.875,0.875
Lmnb1,Hsp90ab1,0.75,0.875
Lmnb1,Ogdh,0.8125,0.875
Lmnb1,Pebp1,0.8125,0.9375
Lmnb1,Tmem43,0.8125,0.9375
Lmnb1,Arl6ip5,0.8125,0.875
Lmnb1,Prkaca,0.75,0.8125
Lmnb1,Cndp2,0.8125,0.8125
Lmnb1,Cbx3,0.875,0.875
Lmnb1,Dld,0.8125,0.875
Lmnb1,Ptrh2,0.8125,0.875
Lmnb1,Mtx2,0.8125,0.9375
Lmnb1,Tbc1d1,0.6875,0.875
Lmnb1,Hnrnpl,0.75,0.8125
Lmnb1,Nme2,0.875,0.9375
Lmnb1,Dffa,0.75,0.8125
Lmnb1,Ndufb5,0.8125,0.9375
Lmnb1,Hsd17b4,0.8125,0.9375
