Gene 1,Gene 2,cv,train
Chga,Ighg2b,0.9375,0.9375
Chga,Hyou1,0.875,0.9375
Chga,Ywhae,0.875,0.9375
Chga,Apoa2,0.8125,0.875
Chga,Igfbp6,0.875,0.8125
Chga,Ctsl,0.75,0.875
Chga,Cd248,0.875,0.875
Chga,Ces3a,0.8125,0.9375
Chga,Igkv9-120,0.875,0.875
Chga,Aldoa,0.875,0.875
Chga,Pcolce,0.8125,0.875
Chga,Ghr,0.9375,0.9375
Cd44,Cfb,0.625,0.6875
Cd44,Ltf,0.875,0.9375
Cd44,Selenop,0.875,0.8125
Cd44,Dpp4,0.75,0.875
Cd44,Mbl2,0.625,0.8125
Cd44,Pcyox1,0.75,0.8125
Cd44,Cpn2,0.9375,1.0
Cd44,Gm10881,0.8125,0.875
Cd44,F13b,0.875,1.0
Cd44,F2,0.875,0.875
Cd44,Ccl8,0.625,0.6875
Cd44,Psmb3,0.6875,0.875
Cd44,Hp,0.8125,0.8125
Cd44,Ighv1-62-3,0.8125,0.875
Cd44,Spp1,0.8125,0.8125
Cd44,Ext2,0.875,1.0
Cd44,Mmrn1,0.75,0.875
Cd44,Efemp2,0.6875,0.9375
Cd44,Sod3,0.625,0.75
Cd44,Ctsd,0.75,0.8125
Cd44,Proc,0.6875,0.75
Cd44,Procr,0.875,0.8125
Cd44,Hpx,0.875,0.875
Cd44,Psmb5,0.8125,0.875
Cd44,Loxl1,0.625,0.8125
Cd44,Arpc1b,0.6875,0.75
Cd44,Calr,0.6875,0.9375
Cd44,Igfbp3,0.875,0.8125
Cd44,Adgre5,0.625,0.8125
Cd44,Ces1c,0.6875,0.75
Cd44,Sbsn,0.8125,0.75
Cd44,Lbp,0.625,0.75
Cd44,Man2b1,0.6875,0.8125
Cd44,Pgam1,0.75,0.8125
Cd44,Plxdc2,0.6875,0.6875
Cd44,Ctss,0.6875,0.75
Cd44,Psmb2,0.6875,0.875
Cd44,Kng1,0.875,1.0
Cd44,Lrrn4,0.875,0.9375
Cd44,Pon3,0.625,0.6875
Cd44,Itgb2,0.75,0.875
Cd44,Nrp1,0.5,0.6875
Cd44,Vtn,0.75,0.75
Cd44,Cd5l,0.75,0.75
Cd44,Apoc2,0.875,1.0
Cd44,Ctsz,0.75,0.75
Cd44,Heg1,0.6875,0.8125
Cd44,Apod,0.75,0.8125
Cd44,Actb,0.75,0.875
Cd44,Pi16,0.875,0.9375
Cd44,Hamp,0.9375,1.0
Cd44,Psma2,0.6875,0.8125
Cd44,Ighg1,0.75,0.75
Cd44,Psmb9,0.6875,0.8125
Cd44,Angptl3,0.75,0.75
Cd44,Hspa5,0.625,0.75
Cd44,Mbl1,0.6875,0.8125
Cd44,Met,0.8125,0.875
Cd44,Serping1,0.75,0.875
Cd44,Ctbs,0.75,0.875
Cd44,Serpinf1,0.875,0.875
Cd44,Gnptg,0.8125,1.0
Cd44,Pon1,0.875,0.875
Cd44,Hba,0.8125,0.75
Cd44,Icoslg,0.6875,0.75
Cd44,Hgfac,0.8125,0.8125
Cd44,Pla2g7,0.875,0.875
Cd44,Mup20,0.625,0.8125
Cd44,Olfm1,0.6875,0.8125
Cd44,Psmb4,0.6875,0.8125
Cd44,Ganab,0.6875,0.75
Cd44,Igfals,0.6875,0.75
Cd44,Serpina1d,0.6875,0.875
Cd44,B2m,0.8125,0.875
Cd44,Pnliprp1,0.875,0.9375
Cd44,Capn1,0.75,0.75
Cd44,Fbln1,0.875,0.875
Cd44,Pfn1,0.6875,0.75
