Gene 1,Gene 2,cv,train
Samm50,Senp8,0.6875,0.875
Samm50,Pdlim7,0.75,0.875
Cand1,Coq6,0.8125,1.0
Cand1,Mlf1,0.875,0.9375
Cand1,Fgb,1.0,1.0
Cand1,Atpaf1,0.8125,1.0
Cand1,Hbb-b1,0.875,0.9375
Cand1,Igfbp7,0.875,0.875
Cand1,Sgca,0.6875,0.9375
Cand1,Csnk2b,0.75,0.9375
Cand1,U2af2,0.75,1.0
Cand1,Clpp,0.875,1.0
Cand1,Lonp1,0.75,0.9375
Cand1,Hspb8,0.8125,1.0
Cand1,Acad10,0.75,0.9375
Cand1,Bckdhb,0.8125,0.9375
Cand1,Acadvl,0.875,0.9375
Cand1,Otub1,0.8125,1.0
Cand1,Ppil1,0.875,1.0
Cand1,Pdp1,0.75,0.9375
Cand1,Cbr1,0.875,1.0
Cand1,Lgals3,0.9375,0.9375
Cand1,Mylk2,0.75,0.875
Cand1,Mrps22,0.8125,1.0
Cand1,Polr2a,0.75,0.875
Cand1,Hsph1,0.8125,0.875
Cand1,Ciapin1,0.8125,0.9375
Cand1,Atp5f1c,0.875,0.9375
Cand1,Ptges2,0.875,1.0
Cand1,Acadl,0.875,0.9375
Cand1,Dhdh,0.8125,0.875
Cand1,Isoc2a,0.8125,0.875
Cand1,Elavl1,0.9375,1.0
Cand1,Dync1h1,0.75,0.875
Cand1,Zc3h18,0.8125,0.875
Cand1,Cpt2,0.8125,0.875
Cand1,Pcca,0.875,0.9375
Cand1,Txn2,0.9375,1.0
Cand1,Sf3a2,0.75,0.9375
Cand1,Hgs,0.875,0.875
Cand1,Endog,0.8125,0.9375
Cand1,Pelo,0.75,0.875
Cand1,Tmem109,0.6875,0.9375
Cand1,Pin4,0.8125,0.875
Cand1,Cryab,0.75,0.9375
Cand1,Mvp,0.9375,0.9375
Cand1,Oxct1,0.8125,0.9375
Cand1,Timm44,0.875,1.0
Cand1,Etfb,0.8125,0.875
Cand1,Ehbp1,0.6875,0.875
Cand1,Sarnp,0.875,0.9375
Cand1,Vapa,0.875,0.875
Cand1,Wars1,0.6875,0.9375
Cand1,Grpel1,0.875,1.0
Cand1,Padi2,0.8125,0.9375
Cand1,Cav3,0.75,0.875
Cand1,Rps19,0.8125,0.875
Cand1,Manf,0.8125,0.9375
Cand1,Fabp3,0.875,0.875
Cand1,Rps14,0.8125,0.8125
Cand1,H2az1,0.9375,1.0
Cand1,Cox5b,0.875,0.9375
Cand1,Fdx1,0.9375,0.9375
Cand1,Myo1c,0.75,0.875
Cand1,Ctbp1,0.8125,0.9375
Cand1,Hba,0.875,1.0
Cand1,Idh3g,0.875,0.9375
Cand1,Napg,0.875,0.9375
Cand1,Tmod1,0.8125,0.9375
Cand1,Rps11,0.8125,0.875
Cand1,Pnkp,0.8125,0.875
Cand1,Lrpprc,0.875,0.875
Cand1,Ipo9,0.6875,0.9375
Cand1,Rpl15,0.8125,0.875
